Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
,unknown,unknown - supposedly exhaustion related death,,2015-07-28T00:00:00Z,3Q2015,2015 -- 7,2015,14,0,14,Fourteen migrant bodies recovered in the continuing exodus from north Africa,80 kilometres north-west of the Libyan capital Tripoli.,34.4,14.1,"34.4, 14.1",14,,Central Mediterranean route,Euronews,http://www.euronews.com/2015/07/28/fourteen-migrant-bodies-recovered-in-the-continuing-exodus-from-north-africa/
,run over by a truck,"violent accidental death (transport, blown in minefield...)",,2015-07-29T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,A migrant got run over by a truck in the Eurotunnel ,Calais,50.954468,1.862801,"50.954468, 1.862801",4,,,20 Minutes,http://www.20minutes.fr/monde/1659567-20150729-mort-migrant-calais-passe-site-eurotunnel
,electrocuted,"violent accidental death (transport, blown in minefield...)",,2015-07-29T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,A migrant got electrocuted while trying to get on the top of a train going to the UK,Paris,48.858,2.2946,"48.858, 2.2946",1,,,France Info,http://www.franceinfo.fr/actu/societe/article/un-jeune-migrant-electrocute-sur-le-toit-d-un-eurostar-710689
,unknown,unknown - supposedly exhaustion related death,,2015-06-16T00:00:00Z,2Q2015,2015 -- 6,2015,30,0,30,Bodys in an advanced state of decomposition were found in the Sahara,Dirkou,19.0086,12.88579,"19.0086, 12.88579",30,,Central Mediterranean route,BBC,https://www.iom.int/fr/news/loim-evoque-la-decouverte-de-nouvelles-victimes-dans-le-sahara-parmi-les-migrants-en-route-pour
,shot,malicious intent related death / manslaughter,,2015-06-23T00:00:00Z,2Q2015,2015 -- 6,2015,1,0,1,One migrant was shot during the crossing of the Mediterrannean sea,Between Libya and Sicily,34,14,"34, 14",86,,Central Mediterranean route,Le Parisien,http://www.leparisien.fr/international/migrants-2-500-personnes-secourues-par-l-italie-un-mort-et-un-blesse-par-balles-23-06-2015-4885539.php
,exhaustion,drowning or exhaustion related death,,2015-06-24T00:00:00Z,2Q2015,2015 -- 6,2015,18,0,18,"17 men and 1 woman were found in the desert, shortly after they left Arlit for Algeria","near Arlit, Niger",18.733,7.383,"18.733, 7.383",18,,Central Mediterranean route,L'Opinion (MA),http://www.lopinion.ma/def.asp?codelangue=23&id_info=46636&date_ar=2015-6-24%2014:37:00
,run over by a car,"violent accidental death (transport, blown in minefield...)",,2015-06-29T00:00:00Z,2Q2015,2015 -- 6,2015,1,0,1,On the night of the 29th June Zebiba a 23 year old women from Eritrea was found dead on the side of the A16 between Calais and Marck.,Between Calais and Marck,50.95,1.95,"50.95, 1.95",1,,,DailyMail,http://www.dailymail.co.uk/news/article-3173971/The-migrant-express-Stowaways-leap-aboard-UK-bound-freight-trains-sneak-Channel-Tunnel-amid-Calais-chaos.html
,drowned,drowning or exhaustion related death,,2015-06-15T00:00:00Z,2Q2015,2015 -- 6,2015,1,2,3,A rubber boat capsized during a rescue operation. 3 men died.,Central Med,34,14,"34, 14",86,,Central Mediterranean route,MSF,http://www.msf.org.uk/article/migrants-saddened-by-loss-of-life-during-rescue
,died from dehydration,drowning or exhaustion related death,,2015-06-14T00:00:00Z,2Q2015,2015 -- 6,2015,18,0,18,"A pickup truck got lost in the desert outside of Arlit, Niger","Off Arlit, Niger",19.213588,6.800537,"19.213588, 6.800537",18,,Central European Route,Reuters,http://news.yahoo.com/18-migrants-found-dead-nigers-desert-iom-says-140938318.html
,run over by a car,"violent accidental death (transport, blown in minefield...)",,2015-06-01T00:00:00Z,2Q2015,2015 -- 6,2015,1,0,1,A 20 years old guy hitted by a car while crossing the highway,"Coquelles, France",50.9247443,1.8000638,"50.9247443, 1.8000638",1,1 migrant die while crossing the highway,,La Voix du Nord,http://www.lavoixdunord.fr/region/coquelles-un-migrant-tue-en-traversant-l-a16-la-nuit-ia33b48583n2859280
,unknown,unknown - supposedly exhaustion related death,,2015-05-31T00:00:00Z,2Q2015,2015 -- 5,2015,17,0,17,"17 bodies were found on three inflatable dinghies, from which more than 300 other migrants were rescued alive",Off Libya,34.542858,13.704729,"34.542858, 13.704729",17,17 bodies found on three inflatable dinghies,Central Mediterranean route,AFP,http://www.businessinsider.com/afp-4200-migrants-rescued-in-med-friday-17-dead-coastguard-2015-5#ixzz3buespTga
,unknown,unknown - supposedly exhaustion related death,,2015-05-29T00:00:00Z,2Q2015,2015 -- 5,2015,11,0,11,The Italian navy found 11 dead migrants on boats headed across the Mediterranean to Europe ,Off Libya,33.641882,12.847345,"33.641882, 12.847345",11,Italian navy finds 11 dead migrants,Central Mediterranean route,AFP,http://news.yahoo.com/italian-navy-finds-11-dead-migrants-rescues-hundreds-160013554.html
,drowned,drowning or exhaustion related death,,2015-05-25T00:00:00Z,2Q2015,2015 -- 5,2015,5,0,5,"Five African migrants drowned in the Mediterranean after jumping from their boat which was intercepted by the Egyptian coastguard, reported security officials.",Off Egypt,33.44238,25.610113,"33.442380, 25.610113",5,5 migrants drowned in Mediterranean,Central Mediterranean route,Le Figaro,http://www.lefigaro.fr/flash-actu/2015/05/25/97001-20150525FILWWW00083-cinq-migrants-noyes-en-mediterranee.php
,drowned,drowning or exhaustion related death,,2015-05-23T00:00:00Z,2Q2015,2015 -- 5,2015,5,0,5,The bodies of five Tunisian migrants trying to reach the Italian island of Lampedusa were recovered off Tunisia,Off Téboulba,35.696508,11.107726,"35.696508, 11.107726",5,5 Tunisian migrants died trying to reach the Italian island Lampedusa,Central Mediterranean route,Le Figaro,http://www.lefigaro.fr/flash-actu/2015/05/23/97001-20150523FILWWW00055-cinq-migrants-morts-en-mer-49-secourus.php
,asphyxiated,drowning or exhaustion related death,,2015-05-12T00:00:00Z,2Q2015,2015 -- 5,2015,1,1,1,A youg afghan has been found dead in a truck,"Genas, France",45.7283752,5.0131031,"45.7283752, 5.0131031",1,A youg afghan has been found dead in a truck,,Lyon Capitale,http://www.lyoncapitale.fr/Journal/Lyon/Actualite/Actualites/Accident/Un-jeune-migrant-afghan-retrouve-mort-a-Genas
81067,drowned,drowning or exhaustion related death,,2015-05-05T00:00:00Z,2Q2015,2015 -- 5,2015,40,0,40,The Save the Children aid group said on Tuesday rescued migrants disembarking in Sicily had told its personnel there that around 40 of their fellow travelers had drowned during the journey.        ,Sicily (strait of)        ,37.2,11.199903,"37.2, 11.199903",40,40 Migrants Reported Dead After Dinghy Burst at Sea on May 5 2015,Central Mediterranean route,The wall street journal,http://www.wsj.com/articles/40-migrants-reported-dead-after-dinghy-burst-at-sea-1430828951
80997,drowned,drowning or exhaustion related death,,2015-05-03T00:00:00Z,2Q2015,2015 -- 5,2015,10,0,10,"Hundreds of migrants were rescued from at least 16 boats off Libya's coast Sunday, but at least 10 bodies were recovered in the rescue operations involving the Italian Coast Guard.        ",Off Libya,33.06503,13.413009,"33.065030, 13.413009",10,"Hundreds of migrants rescued and 10 dead in sea off Libya, 3 May 2015",Central Mediterranean route,usatoday,http://www.usatoday.com/story/news/world/2015/05/03/italy-coast-guard-rescue-migrants-sea/26824999/
80995,drowned,drowning or exhaustion related death,,2015-05-02T00:00:00Z,2Q2015,2015 -- 5,2015,3,0,3,Three people were killed Saturday when a boat carrying migrants sunk off the coast of Beheira governorate’s Edku city.        ,"Off Egypt, (Idku)       ",31.510077,30.21185,"31.510077, 30.21185",3,"3 people die after boat sinks, 2 May 2015",Central Mediterranean route,dailynewsegypt,http://www.dailynewsegypt.com/2015/05/03/3-illegal-immigrants-die-after-boat-sinks/
80309,run over by a train,"violent accidental death (transport, blown in minefield...)",,2015-04-24T00:00:00Z,2Q2015,2015 -- 4,2015,14,0,14,"Fourteen migrants were killed when they were struck by a train in a narrow gorge in Macedonia late on Thursday, part of a growing tide of people trying to get to western Europe via the Balkans instead of crossing the treacherous Mediterranean.","Veles, macedonia",41.713846,21.770409,"41.713846, 21.770409",14,"Fourteen migrants were killed when they were struck by a train on April 24, 2015",Western Balkan route       ,Reuters,http://www.reuters.com/article/2015/04/24/us-macedonia-migrants-idUSKBN0NF0JD20150424
80323,run over by a bus,"violent accidental death (transport, blown in minefield...)",,2015-04-22T00:00:00Z,2Q2015,2015 -- 4,2015,1,0,1,"The incident took place on Tuesday night on a ferry linking Igoumenitsa in northwest Greece with Bari across the Adriatic Sea in southeast Italy, Ana said. As the bus drove onto the ferry ramp, the 21-year-old migrant was struck and fatally injured by the axle.        ","Igoumenítsa, Nome de Thesprotie, Greece",39.50615,20.265534,"39.50615, 20.265534",7,"Migrant dies in Greece after hiding in bus undercarriage on April 22, 2015",Apulia and Calabria route        ,thelocal.it,http://www.thelocal.it/20150423/migrant-dies-trying-to-smuggle-onto-car-ferry-to-italy
79134,drowned,drowning or exhaustion related death,,2015-04-20T00:00:00Z,2Q2015,2015 -- 4,2015,20,0,400,2 Boats Carrying 400 People Send Distress Calls,Off Libya,33.349987,13.58879,"33.349987, 13.58879",401,2 Boats Carrying 400 People Send Distress Calls,Central Mediterranean route,ABCnews,http://abcnews.go.com/International/wireStory/eu-beef-border-agency-confront-migrant-influx-30439077
78862,drowned,drowning or exhaustion related death,,2015-04-20T00:00:00Z,2Q2015,2015 -- 4,2015,3,0,3,"The boat hit a reef at Zephyros beach in Rhodes and the migrants started to flee to the shore, jumping into the sea, withor help. According to preliminary information released by the authorities, the boat sailed from the coast of Turkey. The smuggler abandoned the migrants in the middle of the sea, however, they still managed to reach Rhodes.","Rhodes, Greece",36.434963,28.217483,"36.434963, 28.217483",3,"200 Migrants Leaves 3 Dead in Rhodes on April 20, 2015",Eastern Mediterranean route,greekreporter,http://greece.greekreporter.com/2015/04/20/tragedy-with-200-migrants-leaves-3-dead-in-rhodes/
78860,drowned,drowning or exhaustion related death,,2015-04-19T02:00:00Z,2Q2015,2015 -- 4,2015,24,739,800,800 migrants feared dead in Mediterranean shipwreck,about 60 miles (96km) off the Libyan coast and 120 miles (193km) south of the Italian island of Lampedusa.,33.867198,12.279102,"33.867198, 12.279102",800,"700 migrants feared dead in Mediterranean shipwreck on April 19, 2015",Central Mediterranean route,The Guardian,http://www.theguardian.com/world/2015/apr/19/700-migrants-feared-dead-mediterranean-shipwreck-worst-yet
78861,burned,"violent accidental death (transport, blown in minefield...)",,2015-04-17T00:00:00Z,2Q2015,2015 -- 4,2015,1,0,1,"Just under 70 migrants, many suffering from severe burns, were picked up by Italian coastguards in the Mediterranean sea between northern Libya and Italy on Friday, after spending two days stranded on a half-inflated dinghy. One 25-year old woman died during the journey.",Between northern Libya and Italy,33.349987,13.58879,"33.349987, 13.58879",401,"Severely burnt migrants found stranded in the Mediterranean on April 17, 2015",Central Mediterranean route,,https://ruptly.tv/vod/view/27158/italy-severely-burnt-migrants-found-stranded-in-the-mediterranean-graphic
78478,drowned,drowning or exhaustion related death,,2015-04-16T00:00:00Z,2Q2015,2015 -- 4,2015,0,41,41,,Between LY and Trapani,36.2,12.5,"36.2, 12.5",41,41 feared dead on April 16 2015,Central Mediterranean Route,AP,
78476,drowned,drowning or exhaustion related death,,2015-04-14T00:00:00Z,2Q2015,2015 -- 4,2015,0,12,12,,Between LY and Sicily,34.7,15.5,"34.7, 15.5",12,12 thrown overboard on April 14,Central European Route,AP,
78306,drowned,drowning or exhaustion related death,,2015-04-13T02:00:00Z,2Q2015,2015 -- 4,2015,9,400,400,"About 400 migrants are feared died in an attempt to reach Italy from Libya when their boat capsized, survivors said.",Off Libya (24 hours after departure),35,15.1,"35, 15.1",400,Ship capsizes off Libya on Apr 15 2015,Central Mediterranean Route,Reuters,
78172,drowned,drowning or exhaustion related death,,2015-04-12T00:00:00Z,2Q2015,2015 -- 4,2015,9,0,9,,Off Libya,33.4,15.3,"33.4, 15.3",9,9 dead in shipwreck off Libya on Apr 12 2015,Central Mediterranean Route,Reuters,
78114,unknown,unknown - supposedly exhaustion related death,,2015-04-11T00:00:00Z,2Q2015,2015 -- 4,2015,1,0,1,"Migrants were picked up by three merchant vessels and an Italian navy ship. In all 978 people were rescued, one person had died before help arrived.",,34.9,15,"34.9, 15",1,"One dead on April 11, 2015",Central Mediterranean Route,Times of Malta,
78112,drowned,drowning or exhaustion related death,,2015-04-10T00:00:00Z,2Q2015,2015 -- 4,2015,1,0,1,A ship carrying 200 migrants capsized near Egypt's Mediterranean coast.,"off Borg Borolos, Kafr al-Sheikh",32,30.6,"32, 30.6",1,"Shipwreck off Kafr al-Sheikh on April 10, 2015",Central Mediterranean Route,MadaMasr,
78096,drowned,drowning or exhaustion related death,,2015-04-07T00:00:00Z,2Q2015,2015 -- 4,2015,7,4,11,"Seven persons were found dead while another nine were rescued by members of the Turkish coast guard, after they were spotted east of the Greek island Symi, near Rhodes.",East of Symi,36.6,27.9,"36.6, 27.9",11,7 dead in Symi on Apr 7 2015,Eastern Mediterranean Route,Greek Reporter,
77230,drowned,drowning or exhaustion related death,,2015-03-17T00:00:00Z,1Q2015,2015 -- 3,2015,5,0,5,At least five people were killed when a boat carrying migrants sank near the southwestern province of Muƒüla early on March 17.,Off Kos,36.9,27.4,"36.9, 27.4",5,"5 die on March 17, 2015",Eastern Mediterranean route,H√ºrriyet,
77186,drowned,drowning or exhaustion related death,,2015-03-09T00:00:00Z,1Q2015,2015 -- 3,2015,4,8,12,Four dead and 8 missing on a 30-person boat.,Off Lanzarote,29.01,-12.79,"29.01, -12.79",12,"4 dead off the Canary Islands on March 9, 2015",West African Route,El Mundo,
76897,drowned,drowning or exhaustion related death,,2015-03-04T00:00:00Z,1Q2015,2015 -- 3,2015,10,40,50," A boat transporting migrants has capsized off Sicily, killing at least ten people.",off Sicily,36.1,15.2,"36.1, 15.2",50,"50 dead on March 4, 2015",Central Mediterranean Route,AFP,
77628,drowned,drowning or exhaustion related death,,2015-02-26T00:00:00Z,1Q2015,2015 -- 2,2015,2,0,2,Two men jump ship as they are being deported from the UK to Belgium.,500m off Harwich,51.924,1.44,"51.924, 1.44",2,"2 Albanians jump ship on Feb 26, 2015",,East Anglian Daily Times,
76892,suicide,suicide,,2015-02-13T00:00:00Z,1Q2015,2015 -- 2,2015,1,0,1,untreated diabetes,Thessaloniki police station,40.634676,22.943048,"40.634676, 22.943048",1,Migrants commits suicide at Thessaloniki police station,,Socialist Worker,
76382,drowned,drowning or exhaustion related death,,2015-02-10T00:00:00Z,1Q2015,2015 -- 2,2015,0,300,300,300 migrants and refugees are thought to be dead by UN agencies based on survivors' testimonies.,Off Libya,33.7,13.6,"33.7, 13.6",300,300 die in stormy sea in early February 2015,Central Mediterranean Route,NYT,
76888,lack of medical care,drowning or exhaustion related death,,2015-02-10T00:00:00Z,1Q2015,2015 -- 2,2015,1,0,1,HIV after being denied treatment,,38.1260386,23.7367192,"38.1260386, 23.7367192",1,Death of Sayed Mehdi Achmpari,,Socialist Worker,
76304,hypothermia,drowning or exhaustion related death,,2015-02-09T00:00:00Z,1Q2015,2015 -- 2,2015,29,0,29,More than 20 died of hypothermia. Another 15 in critical condition.,Off Lampedusa,35.4,12.6,"35.4, 12.6",51,29 die of hypothermia off Lampedusa on 9 February 2015,Central Mediterranean Route,"adnkronos.com, Reuters",
76102,drowned,drowning or exhaustion related death,,2015-01-30T00:00:00Z,1Q2015,2015 -- 1,2015,8,0,8,A boat carrying illegal migrants sank off the Mediterranean shore near the Spanish enclave of Melillla.,"Boukana beach, near Nador",35.235482,-2.873268,"35.235482, -2.873268",8,8 dead off Morocco on 30 January 2015,Western Mediterranean Route,AP,
75654,drowned or thirst,drowning or exhaustion related death,,2015-01-22T00:00:00Z,1Q2015,2015 -- 1,2015,1,20,21,"A Maltese patrol boat rescued about 80 migrants, who claimed 20 had died since leaving from Tripoli. A man died in a Maltese hospital after disembarking.",Off Malta,35.4,14,"35.4, 14",21,20 missing off Malta on 22 January 2015,Central Mediterranean Route,Times of Malta,
75619,car accident,"violent accidental death (transport, blown in minefield...)",,2015-01-20T00:00:00Z,1Q2015,2015 -- 1,2015,12,0,12,"A people smuggler was carrying 12 Nigerien illegal immigrants from Tarhuna to Tripoli when a military patrol pursued his vehicle. During the pursuit, two military vehicles hit the smuggler's car, causing a tragic accident, in which the smugglers, the 12 immigrants and four troops were killed.",Between Tarhuna and Tripoli,32.5,13.3,"32.5, 13.3",12,12 killed in car chase in Libya on 20 January 2014,,Anadolu Agency,
